Participant ID ,Q: Understanding_crisis,Code ,Notes,Code2,Conflict,CodeFinal,Notes
LaLaLa,A belief that previous studies cannot be reproduced and if they do they will be wrong.,1,"Doesn't specifically mention results, so potentially this is a 0 - given a 1 because results are hinted at. 'wrong'",0,Y,0,
EW6805,A large number of studies published in well known journals were unable to replicate when the study was repeated,0,,1,Y,1,
SB7102,"The inability to accurately replicate results of past studies, reducing reliability and confidence in drawn conclusions",1,,1,,1,
SP4469,A contemporary issue in which behavioral psychological experiments cant be replicated therefore discrediting their results,1,? check - contemporary issue,1,,1,
NM5825,A crisis in the research world that deals with the issue that many results from empirical research can not be replicated.,1,,1,,1,
SS2961,A crisis in which it has been found that a lot of scientific studies are difficult or even impossible to replicate/reproduce.,0,,0,,0,
HM1352,A crisis in which its found many scientific studies and research are difficult to replicate,0,,0,,0,
RG6441,A crisis in which many scientific studies have been found impossible to replicate or reproduce.,0,,0,,0,
MR3165,a crisis in which many studies are difficult to replicate.,0,,0,,0,
EH7376,A crisis that came to light in 2010 which revealed that a large number of psychological studies could not be replicated,0,,0,,0,
SJ5333,a crisis where scientific studies have been difficult to replicate,0,,0,,0,
AS9209,A crisis where studies are difficult to replicate due to methodological issues,0,,0,,0,
JM7977,A crisis whereby Psychologists all over the world are repeating studies and finding that most of them show conflicting results when compared to the original studies.,1,,1,,1,
RM1418,A current and ongoing crisis where many respected and published studies have been found to be impossible to replicate and unreliable.,0,,0,,0,
LP6708,a lack of replication (the ability to repeat studies and find similar results to the original) implying the original studies were not scientifically sound,1,,1,,1,
MZ7473,A lot of older research and studies that are now being replicated are not showing the same results.,1,,1,,1,
CW5388,a lot of results now are not able to be replicated due to methodology/design differences and also have not been replicated due to differences in findings,1,,1,,1,
js8581,A lot of studies in psychology are difficult or impossible to replicate.,0,,0,,0,
MP3003,"A lot of studies that originally found statistical significance and were published actually lacked reliability, and once they had been repeated the same results were not found.",1,,1,,1,
CC9419,A lot of studies with significant results do not replicate.,1,,1,,1,
LW6492,A methodological crisis in which researchers find many results of previous research to be difficult to replicate / reproduce the same findings again,1,,1,,1,
LS0336,"A methodological crisis where psychological studies especially before 2012, where unreplicable and therefore the reliability of the studies could not be tested",0,,1,,0,
6579628,A period of time in psychology research when individuals replicated previous research and found it was not replicable and found invalid results. This changed how research is carried out in psychology.,0,"? check - right idea, but suggests a limited period of time",1,,0,
MK0179,A phenomenon across psychological research concerning whether the results of studies that formed the basis of many influential theories could actually be replicated,1,,1,,1,
MD6104,a problem with methodology that means studies are hard or impossible to replicate,0,,0,,0,
js2639,a problem within the reliability of reproducing studies.,0,,0,,0,
SA6815,A researcher replicating another researchers study exactly without their permission?,0,,0,,0,
OP7346,A study becomes over replicated and interferes with results?,0,,0,,0,
AM1317,A study is not valid if it is not replicable. So there is a problem with not being able to replicate studies.,0,,0,,0,
SB0491,A study may be done multiples times to see whether the the data can be reproduced. Sometimes data and results from these can show data that matches studies done before,0,,0,,0,
JH0132,A total clusterfuck of egotistical fools making a name for themselves with fanciful results that marr the ideals of psychology and scientific practice that we all endeavor towards.,0,,0,,0,
DB200,A trend of Psychological studies failing to replicate.,0,,0,,0,
EM5130,a waste of time,0,,0,,0,
aaaaaa,aaaa,0,,0,,0,
CB8819,An actual or perceived inability to replicate a situation or study.,0,,0,,0,
SM4990,An inability to replicate or reproduce an earlier study,0,,0,,0,
AK6343,An issue that means that most classic studies cannot be replicated,0,,0,,0,
MS0858,An issue which was found in many areas of research specifically psychology where researches replicated experiments to see if they have good replication and reproducible. previous successful studies with well known findings were likely to be incorrect  and not replicable or reproducible,1,,1,,1,
CG0045,An ongoing failure to replicate results of previous work,1,,1,,1,
Aw8973,Being or not being able to replicate studies conducted in order to further prove the hypothesis.  If people publish studies that cannot be replicated the information that the studies found may not be reliable,1,Just on the cusp of 1 - 'information' suggests results,1,,1,
MA2898,Being unable to produce replication/reproducibility of results,1,,1,,1,
SW6465,By repeating the experiment exactly the same results are not obtained.,1,,,,1,
RW3044,"cant quite remember, but I definitely remember learning about it",0,,,,0,
OW5710,certain studies are impossible / very hard to replicate,0,,,,0,
ab7768,classic (psychology) studies have been replicated more recently and the findings/results are not the same as the original publications,1,,,,1,
AS1070,Concerns about the credibility of the findings,0,? check - too vague?,,,0,
ED4499,Concerns regarding the credibility of research findings,0,? check - too vague?,,,0,
LS4306,data produced by a researcher is not reliable or accurate which means that it is unable to be replicated.,1,,,,1,
MG3670,difficult to replicate studies,0,,,,0,
MO8359,Difficulty in replicating studies.,0,,,,0,
TB1970,"difficulty of getting the same (usually significant) results when an experiment is conducted again; either in theoretical/conceptual replication, where methods aren't followed exactly, or in exact replication, where they are -- this is bad for science because it casts doubts on finding a ""real"" effect",1,,,,1,
JM3882,difficulty of replicating or reproducing many studies,0,,,,0,
ZG0921,difficulty of reproducing scientific studies,0,,,,0,
AE6392,Difficulty replicating many of the scientific studies.,0,,,,0,
MS5627,difficulty reproducing studies and results,1,,,,1,
MS1199,Difficulty to replicate a study,0,,,,0,
MH0851,"Due to an increase in the monetisation of scientific publications, researchers have a strong desire to publish frequent research in order to maintain expectations. This leads to a system that has the potential to only be rewarding to studies that add something new and only pose significant findings. This can lead to publication biases in the sense that journals are disproportionately favoured towards research that is less likely to be replicating previous studies, or does not indicate significant findings.",1,,,,1,
JK4785,Experiments have been falsified for too long and the way forward is an open science framework where people can be held accountable for the file case phenomenon,0,Not quite detailed enough?,,,0,
gd5943,Failure of quite a few classic studies or effects to replicate when reproduced by modern researchers/different researchers,1,,,,1,
HR7328,"File drawer effect, and psychological studies struggling to replicate",1,,,,1,
EH5188,Findings cannot be replicated,1,,,,1,
SD7996,Findings from research papers cannot be replicated using the same methodology.,1,,,,1,
FA2555,"For many Psychological studies, when other researchers try to replicate them, following the exact same method, they fail to find the same results.  Some of it could be due to incomplete methods e.g. missing materials or methods that were changed without noting it etc. A lot of this could be because researchers switch hypotheses - so if they found something exploratory they might make that the focus of their findings if the results weren't significant for their original hypotheses. There's also lots of focus on novel research only, it attracts funding and journal peer review processes sometimes aren't entirely fair - they might favour researchers they know, or new/ 'interesting' research etc. Replication studies, too, don't attract too much funding/ attention",1,,,,1,
CC3911,freely available publications,0,,,,0,
RI8423,Hard to reproduce a study because aspects are not available .,0,"? Possibly, lack of transparency, which would be a 1",,,0,
LT6555,how studies have been done which are found  not reproducable,0,,,,0,
MO3315,I am glad that now there are ways to check if paper is correct and that researchers did not cheated,0,,,,0,
bb5521,I believe that it is that many psychology studies fail to be replicated and get the same results as the original studies.,1,,,,1,
FJ7624,"I believe the replication crisis used in pstchology is important as many scientists question the accuracy of published findings and now call for increased scrutiny of research practices in psychology. Replication is crucial in order for scientists to be able to check their work, and without repetition of a study, the result is not likely to be accepted.",1,,,,1,
JG3394,I don't really remember much but something regarding accuraccy?,0,,,,0,
SB8860,I forgot because I have the memory of a fly but I remember one of my lecturers mentioning this.,0,,,,0,
EY5618,"I have vaguely come across it, I think it concerns difficulties in replicating research due to lack of accessible materials/study info for example?",1,,,,1,
